Start Date,End Date,Category,RSI,Area of Snow >= 0,Population >= 0,Area of Snow >= 4,Population >= 4,Area of Snow >= 10,Population >= 10,Area of Snow >= 20,Population >= 20,Area of Snow >= 30,Population >= 30
3/5/2018,3/8/2018,1,2.096,175853,60907768,90641,36322761,24976,9678965,288,162377,0,0
1/3/2018,1/5/2018,1,1.955,166723,59479450,74333,29920713,38401,8462011,115,75720,0,0
3/12/2017,3/15/2017,4,10.658,176160,60603632,149762,47610111,115550,25385900,23746,2808998,1960,166977
2/9/2017,2/10/2017,1,2.154,175084,60655477,86345,38297496,19604,14874285,192,2300,0,0
11/17/2016,11/22/2016,1,2.154,150944,48054817,74986,12449992,27157,2955306,3911,547545,211,22637
1/22/2016,1/24/2016,4,17.758,92140,52963122,69441,47293970,39929,35036764,19200,21000936,1220,1121182
2/14/2015,2/16/2015,1,1.14,176958,60987376,57189,15811262,6332,5451019,192,119149,19,8454
2/8/2015,2/10/2015,1,1.897,136000,44457219,81925,19415082,20373,8736372,595,605258,0,0
1/29/2015,2/3/2015,1,2.606,175690,60670793,125689,37477760,34634,10922120,38,26697,0,0
1/25/2015,1/28/2015,3,6.158,177785,60992661,105066,35909413,32520,15060394,6650,4996059,221,263094
12/9/2014,12/14/2014,1,1.881,162706,51280184,108064,12009376,40006,3780809,605,96523,0,0
11/26/2014,11/28/2014,1,1.756,173671,60326804,114368,19351003,27686,2986741,0,0,0,0
2/11/2014,2/14/2014,2,4.398,176679,59114214,142679,50973094,58938,34908494,893,223994,0,0
1/20/2014,1/22/2014,1,1.294,169039,59023320,36325,37285320,2152,6821020,0,0,0,0
12/30/2013,1/3/2014,1,2.766,170587,59042162,124362,53959742,24764,7428742,470,196982,0,0
12/13/2013,12/16/2013,1,2.678,174507,58818190,142843,37336090,49222,3853990,0,0,0,0
3/17/2013,3/20/2013,1,1.621,173441,58544700,99550,17351600,36345,2947900,57,4520,0,0
3/3/2013,3/9/2013,1,1.308,157056,58614413,47156,31503313,6851,6299113,86,140773,0,0
2/8/2013,2/10/2013,3,9.212,172576,58579289,116848,39997489,51519,25546289,16481,10662789,86,79789
12/28/2012,12/31/2012,1,1.095,173479,58679218,100280,19479418,2969,109218,0,0,0,0
12/24/2012,12/28/2012,1,2.004,174200,58845960,136404,19337960,40237,4251160,38,1540,0,0
10/25/2011,10/31/2011,1,1.849,157709,55844726,85596,34057826,20594,7645926,307,56976,0,0
2/24/2011,2/27/2011,1,1.736,155855,43474028,103009,15289628,40246,5283528,9,538,0,0
2/1/2011,2/4/2011,1,1.779,170298,56938590,98252,18014590,41995,5240890,0,0,0,0
1/26/2011,1/27/2011,1,2.643,174690,58910064,53450,45200864,20142,30186164,19,94664,0,0
1/9/2011,1/13/2011,2,3.377,174940,58907580,110899,46166580,39727,15508180,1864,1226380,0,0
12/24/2010,12/28/2010,2,3.238,174950,58912655,92717,39714655,42187,27182055,355,690255,0,0
2/21/2010,3/1/2010,4,17.827,174950,58912816,151078,45194716,102490,28529716,28109,5202016,5420,677436
2/12/2010,2/19/2010,1,1.085,174690,58873066,73247,27934566,2056,222766,134,5189,0,0
2/8/2010,2/11/2010,2,3.061,146360,58156565,78042,42505165,34134,31132365,442,185165,0,0
2/4/2010,2/8/2010,3,9.062,90382,50257627,50846,30250727,38882,19533727,18922,9824267,317,200317
12/28/2009,1/4/2010,2,3.735,174383,58858437,126813,23637337,56612,7298837,3094,772327,403,73508
12/18/2009,12/21/2009,1,2.836,130657,56388060,55997,44784060,27311,25872060,672,586460,0,0
12/7/2009,12/11/2009,1,1.702,169750,57511523,119096,23939323,11099,1041823,999,62254,115,3329
2/26/2009,3/3/2009,1,1.474,171125,58315320,70479,44345220,3382,2607920,0,0,0,0
2/22/2009,2/24/2009,1,1.429,169443,56989600,69893,4678200,32616,1443310,3123,83410,0,0
